location_name,category,country_code,grouped_category
atm mandri,atms,ID,12
atm mandiri,atms,ID,12
mandiri atm,atms,ID,12
atmbank mandiri,atms,ID,12
bankmandiriatm,atms,ID,12
mandiri otm,atms,ID,12
atm bank mandiri,atms,ID,12
otm mandire,atms,ID,12
atm cimb,atms,ID,12
cimb atm,atms,ID,12
atm cimb niaga,atms,ID,12
atmbank bri,atms,ID,12
bri atm,atms,ID,12
bri atm01,atms,ID,12
atm bri,atms,ID,12
bri otm,atms,ID,12
otm bri,atms,ID,12
atm bang bjb,atms,ID,12
atm btn,atms,ID,12
atm bnt,atms,ID,12
btn's atm,atms,ID,12
atm bankbtn,atms,ID,12
atm bank bjb,atms,ID,12
atmj trust,atms,ID,12
j trust atm,atms,ID,12
jtrus atm,atms,ID,12
atm btpn,atms,ID,12
btpn atm,atms,ID,12
pnb bank atm,atms,IN,12
punjab natuonal bank atm,atms,IN,12
the ahemdabad mercantile co op bank,atms,IN,12
csb bank atm,atms,IN,12
atm hdfc bank,atms,IN,12
sbi bank atm,atms,IN,12
icic bank atm,atms,IN,12
atm canar bank,atms,IN,12
idbi atm,atms,IN,12
atm center axis bank,atms,IN,12
bank of baroda atm machine,atms,IN,12
kotak mahendra atm,atms,IN,12
yes bank cash point,atms,IN,12
andhra bank atm,atms,IN,12
allahabad_bank_atm,atms,IN,12
hsbc bank’s atm,atms,IN,12
union bnk atm,atms,IN,12
bank of india atm point,atms,IN,12
dena bnk atm,atms,IN,12
oriental bank of commerce atm!,atms,IN,12
the federal atm,atms,IN,12
karur vysya bank atm,atms,IN,12
ucb atm outlet,atms,IN,12
citibank atm,atms,IN,12
purwanchal bank atm,atms,IN,12
dcb bank atm machine,atms,IN,12
atm yes bank ltd,atms,IN,12
bom bank atm,atms,IN,12
machine kotak atm,atms,IN,12
axis bank cash point,atms,IN,12
cimb bank atm,atms,MY,12
cib bank atm,atms,MY,12
bank islam atm,atms,MY,12
bnk islam atm,atms,MY,12
maybank atm,atms,MY,12
maybank autoteller,atms,MY,12
mbank atm,atms,MY,12
hsbc atm,atms,MY,12
hsb atm,atms,MY,12
hong leong bank atm,atms,MY,12
hong leong atm,atms,MY,12
hng lng bnk atm,atms,MY,12
public bank atm,atms,MY,12
pblc bnk atm,atms,MY,12
rhb atm,atms,MY,12
rhb bank atm,atms,MY,12
rh bank atm,atms,MY,12
affin bank atm,atms,MY,12
affin bnk atm,atms,MY,12
afin bank atm,atms,MY,12
bank rakyat atm,atms,MY,12
bkrakyat atm,atms,MY,12
bankrakyat atm,atms,MY,12
ambank atm,atms,MY,12
ambank autoteller,atms,MY,12
банк am atm,atms,MY,12
bank muamalat atm,atms,MY,12
bnk muamalat autoteller,atms,MY,12
bank simpanan nasional atm,atms,MY,12
bnk simpanan nasional autoteller,atms,MY,12
bpi atm,atms,PH,12
bdo bank,atms,PH,12
euronet worldwide atm,atms,PH,12
chinabank atm,atms,PH,12
bank of commerce atm,atms,PH,12
meametrobankndbank atm,atms,PH,12
landbank cash machine,atms,PH,12
rcbc atm,atms,PH,12
security bank atm,atms,PH,12
eastwest bank atm,atms,PH,12
china bank savings atm,atms,PH,12
ps bank atm machine,atms,PH,12
unionbank atm lamppost,atms,PH,12
development bank of the philippines atm,atms,PH,12
pgafil savings bank atm,atms,PH,12
ucpb atm machine,atms,PH,12
allied bank atm,atms,PH,12
pnb atm,atms,PH,12
card bank automated teller machine,atms,PH,12
aiai bank cash mach,atms,PH,12
euronetworldwide atm,atms,PH,12
city state savings bank machine,atms,PH,12
asia united bank aub atm,atms,PH,12
ctbc bank atm,atms,PH,12
eur0n3t world wide atm,atms,PH,12
bdo banko atm,atms,PH,12
chinobank atm,atms,PH,12
pbcom atm,atms,PH,12
bank of makati atm,atms,PH,12
overseas filipino bank atm machine,atms,PH,12
,atms,PH,12
uob atm machines,atms,SG,12
uob atm,atms,SG,12
sam machine,atms,SG,12
posb bank atm,atms,SG,12
ocbc atm,atms,SG,12
uo bank atm,atms,SG,12
maybank atm,atms,SG,12
ocbs atm machine,atms,SG,12
"citibank atm,,",atms,SG,12
hsbc money machine,atms,SG,12
standard chartered atm,atms,SG,12
standerd chartered atm,atms,SG,12
"dbs atm,,",atms,SG,12
uob group atm,atms,SG,12
atm posb,atms,SG,12
citibank mony machine,atms,SG,12
dbs bnk atm,atms,SG,12
hscb cash machine,atms,SG,12
sam atm,atms,SG,12
stand chart cash machine,atms,SG,12
oub atm,atms,SG,12
may bank cash dispenser,atms,SG,12
ocb bank atm,atms,SG,12
mashreq bank atm,atms,SG,12
posb bank cash machine,atms,SG,12
banque de l'ouest atm,atms,SG,12
dbs atms,atms,SG,12
uob group cash machine,atms,SG,12
citiback atm,atms,SG,12
bank of asia atm,atms,SG,12
atm of wels fergo,atms,US,12
wells frago atm,atms,US,12
banc of amerika atm,atms,US,12
bank of amrica cash machine,atms,US,12
jpmorgun atm,atms,US,12
chase cash outl,atms,US,12
krypto atm,atms,US,12
crypto cashout,atms,US,12
pnc bnk atm,atms,US,12
bank of newyork atm,atms,US,12
bitcoin automated machine,atms,US,12
nbc atm,atms,US,12
crypto vendor,atms,US,12
santa cruz financial atm,atms,US,12
usd coin deposit machine,atms,US,12
universty of southern california atm,atms,US,12
bruincard vending,atms,US,12
b. of a atm,atms,US,12
chse atm,atms,US,12
citi cash machine,atms,US,12
coral gables atm,atms,US,12
jpmbtc machine,atms,US,12
sausalito bitcoin teller,atms,US,12
coastline at machine,atms,US,12
oneamerica atm,atms,US,12
capitalone ca$h machine,atms,US,12
broad ripple atm,atms,US,12
national btc atm,atms,US,12
use coyne atm,atms,US,12
downtown atm,atms,US,12
angkas cargo,air cargo terminals,ID,114
garuda indonesia cargo terminal,air cargo terminals,ID,114
lion air cargo tarminal,air cargo terminals,ID,114
carg terminal,air cargo terminals,ID,114
ups express crgo,air cargo terminals,ID,114
totex cargo general,air cargo terminals,ID,114
indonesia airasia cargo,air cargo terminals,ID,114
angkascargo terminal,air cargo terminals,ID,114
sriwijaya air,air cargo terminals,ID,114
ekspedisi dhl crgo,air cargo terminals,ID,114
pelni cargo service,air cargo terminals,ID,114
citra air cargo,air cargo terminals,ID,114
bali cargo flights,air cargo terminals,ID,114
airfast indoensia cargo,air cargo terminals,ID,114
ekspress air cargo,air cargo terminals,ID,114
jne cargo terminal,air cargo terminals,ID,114
pos indonesia air parcel,air cargo terminals,ID,114
carg2go terminal,air cargo terminals,ID,114
swift air cargo,air cargo terminals,ID,114
pt panorama crugo terminal,air cargo terminals,ID,114
jnt express cargo,air cargo terminals,ID,114
indopacific bali cargo,air cargo terminals,ID,114
dhl express (indonesia),air cargo terminals,ID,114
indonesian air force base,air cargo terminals,ID,114
wings air kargo,air cargo terminals,ID,114
ezt cargo terminal,air cargo terminals,ID,114
sicepat ekspres cargo,air cargo terminals,ID,114
batam aero cargo,air cargo terminals,ID,114
anteraja cargo terminal,air cargo terminals,ID,114
ancol cargo port,air cargo terminals,ID,114
indira gandhi interntnl crgo termnl,air cargo terminals,IN,114
delhi cargoe terminal,air cargo terminals,IN,114
mumbai internatioanl cargo terminal,air cargo terminals,IN,114
cheenai cargo terminal,air cargo terminals,IN,114
bangaluru aerospace park,air cargo terminals,IN,114
ahmedabad international crago ctr,air cargo terminals,IN,114
kolkuta air caurgo terminal,air cargo terminals,IN,114
lucknow internatonal cargo centre,air cargo terminals,IN,114
indigo aerospace cargo terminal,air cargo terminals,IN,114
goair cargo terminel,air cargo terminals,IN,114
jet airways cargo term.,air cargo terminals,IN,114
air india cargo terminl,air cargo terminals,IN,114
freight terminal delhi,air cargo terminals,IN,114
"gemini cargo, chennai",air cargo terminals,IN,114
"air crgo services, cochin",air cargo terminals,IN,114
"airfrigo india, mumbai",air cargo terminals,IN,114
"vkr air freights, hydrabad",air cargo terminals,IN,114
"vortex air crgo, bengaluru",air cargo terminals,IN,114
"spice air cargo, pune",air cargo terminals,IN,114
"a1 air crgo, jaipur",air cargo terminals,IN,114
"universal air express, dodaballapur",air cargo terminals,IN,114
"fast flight air cargo, noida",air cargo terminals,IN,114
"blue dart aviation, chennai",air cargo terminals,IN,114
"express industry council of india, mumbai",air cargo terminals,IN,114
"aerobridge cargo, delhi",air cargo terminals,IN,114
"baleshwar air cargo, orissa",air cargo terminals,IN,114
"fastway air services, lucknow",air cargo terminals,IN,114
freight forwar delhi,air cargo terminals,IN,114
"aerocargo global, kolkata",air cargo terminals,IN,114
cargo terminal rajkot,air cargo terminals,IN,114
klia kargo terminal,air cargo terminals,MY,114
terminal kargo klia 1,air cargo terminals,MY,114
kargo termnl kila 2,air cargo terminals,MY,114
k.l.i.a. terminal kargo 2,air cargo terminals,MY,114
klia cargo terminal three,air cargo terminals,MY,114
bintulu airport cargo terminal,air cargo terminals,MY,114
cargo terminal senai airport,air cargo terminals,MY,114
crago terminal sandakan,air cargo terminals,MY,114
air kargo trmnal penang,air cargo terminals,MY,114
terminal kargo tawau,air cargo terminals,MY,114
lapangan terbang sultan abdul halim kargo terminal,air cargo terminals,MY,114
